timestamp,memory_used_mib,utilization_gpu_pct,power_draw_w,temperature_c
2026/07/30 14:27:11.554, 0, 0, 60.68, 32
2026/07/30 14:27:13.566, 0, 0, 60.40, 32
2026/07/30 14:27:15.566, 0, 0, 60.62, 32
2026/07/30 14:27:17.566, 23673, 19, 68.09, 32
2026/07/30 14:27:19.566, 23673, 14, 68.03, 32
2026/07/30 14:27:21.567, 23673, 12, 68.03, 32
2026/07/30 14:27:23.567, 23675, 13, 68.03, 32
2026/07/30 14:27:25.567, 23971, 63, 157.62, 35
2026/07/30 14:27:27.567, 23991, 63, 160.44, 36
2026/07/30 14:27:29.568, 24011, 64, 161.33, 36
2026/07/30 14:27:31.568, 24011, 64, 161.94, 37
2026/07/30 14:27:33.568, 24031, 64, 165.37, 37
2026/07/30 14:27:35.568, 24051, 64, 164.43, 37
2026/07/30 14:27:37.569, 24071, 64, 157.95, 38
2026/07/30 14:27:39.569, 24091, 64, 153.81, 38
2026/07/30 14:27:41.569, 24091, 64, 156.40, 38
2026/07/30 14:27:43.570, 24131, 65, 157.35, 39
2026/07/30 14:27:45.570, 24131, 64, 161.33, 39
2026/07/30 14:27:47.570, 24151, 64, 167.52, 39
2026/07/30 14:27:49.571, 24171, 65, 163.21, 39
2026/07/30 14:27:51.571, 24171, 65, 163.48, 39
2026/07/30 14:27:53.571, 24211, 65, 162.60, 40
2026/07/30 14:27:55.572, 24211, 65, 159.34, 40
2026/07/30 14:27:57.572, 24231, 66, 158.73, 40
2026/07/30 14:27:59.572, 24251, 66, 158.57, 40
2026/07/30 14:28:01.573, 24251, 63, 159.50, 41
2026/07/30 14:28:03.573, 24251, 63, 172.45, 41
2026/07/30 14:28:05.573, 24251, 63, 161.06, 41
2026/07/30 14:28:07.573, 24251, 63, 161.94, 41
2026/07/30 14:28:09.574, 24251, 63, 163.21, 41
2026/07/30 14:28:11.574, 24251, 63, 161.33, 41
2026/07/30 14:28:13.574, 24251, 64, 159.01, 41
2026/07/30 14:28:15.574, 24251, 64, 156.25, 42
2026/07/30 14:28:17.575, 24251, 65, 159.78, 42
2026/07/30 14:28:19.575, 24251, 64, 159.17, 42
2026/07/30 14:28:21.575, 24251, 64, 161.94, 42
2026/07/30 14:28:23.575, 24251, 64, 162.60, 42
2026/07/30 14:28:25.576, 24251, 64, 161.94, 42
2026/07/30 14:28:27.576, 24251, 64, 165.64, 43
2026/07/30 14:28:29.576, 24251, 65, 166.86, 43
2026/07/30 14:28:31.576, 24251, 65, 159.34, 43
2026/07/30 14:28:33.576, 24251, 65, 168.24, 43
2026/07/30 14:28:35.577, 24251, 65, 163.21, 43
2026/07/30 14:28:37.577, 24251, 69, 175.49, 43
2026/07/30 14:28:39.577, 24251, 63, 164.43, 43
2026/07/30 14:28:41.577, 24251, 63, 162.60, 43
2026/07/30 14:28:43.578, 24251, 63, 160.11, 43
2026/07/30 14:28:45.578, 24251, 63, 164.43, 43
2026/07/30 14:28:47.578, 24251, 32, 157.35, 43
2026/07/30 14:28:49.578, 24251, 57, 143.04, 43
2026/07/30 14:28:51.579, 24251, 58, 135.36, 43
2026/07/30 14:28:53.579, 24251, 58, 155.80, 43
2026/07/30 14:28:55.579, 24251, 59, 158.73, 44
2026/07/30 14:28:57.579, 24251, 59, 164.76, 44
2026/07/30 14:28:59.580, 24251, 59, 161.94, 44
2026/07/30 14:29:01.580, 24251, 58, 162.60, 44
2026/07/30 14:29:03.580, 24251, 58, 164.43, 44
2026/07/30 14:29:05.580, 24251, 59, 162.44, 44
2026/07/30 14:29:07.581, 24251, 59, 145.20, 44
2026/07/30 14:29:09.581, 24251, 60, 136.58, 44
2026/07/30 14:29:11.581, 24251, 65, 169.68, 44
2026/07/30 14:29:13.581, 24251, 65, 164.76, 44
2026/07/30 14:29:15.581, 24251, 66, 164.10, 44
2026/07/30 14:29:17.582, 24251, 63, 163.82, 45
2026/07/30 14:29:19.582, 24251, 58, 162.60, 44
2026/07/30 14:29:21.582, 24251, 58, 161.66, 44
2026/07/30 14:29:23.583, 24251, 58, 159.17, 44
2026/07/30 14:29:25.583, 24251, 64, 159.34, 45
2026/07/30 14:29:27.583, 24251, 64, 160.28, 45
2026/07/30 14:29:29.584, 24251, 64, 162.27, 45
2026/07/30 14:29:31.584, 24251, 64, 162.88, 45
2026/07/30 14:29:33.584, 24251, 56, 163.21, 45
2026/07/30 14:29:35.585, 24251, 64, 165.37, 45
2026/07/30 14:29:37.585, 24251, 64, 165.37, 45
2026/07/30 14:29:39.585, 24251, 65, 166.86, 45
2026/07/30 14:29:41.586, 24251, 65, 165.37, 45
2026/07/30 14:29:43.586, 24251, 65, 166.69, 45
2026/07/30 14:29:45.586, 24251, 65, 159.01, 45
2026/07/30 14:29:47.587, 24251, 64, 162.60, 45
2026/07/30 14:29:49.587, 24251, 65, 165.37, 45
2026/07/30 14:29:51.587, 24251, 66, 167.19, 46
2026/07/30 14:29:53.588, 24251, 63, 162.27, 46
2026/07/30 14:29:55.588, 24251, 63, 165.03, 45
2026/07/30 14:29:57.588, 24251, 63, 163.82, 45
2026/07/30 14:29:59.589, 24251, 63, 160.44, 45
2026/07/30 14:30:01.589, 24251, 63, 157.79, 46
2026/07/30 14:30:03.589, 24251, 63, 171.33, 46
2026/07/30 14:30:05.592, 24251, 64, 162.44, 46
2026/07/30 14:30:07.592, 24251, 64, 165.37, 46
2026/07/30 14:30:09.593, 24251, 64, 165.64, 46
2026/07/30 14:30:11.593, 24251, 64, 164.10, 46
2026/07/30 14:30:13.593, 24251, 64, 167.52, 46
2026/07/30 14:30:15.594, 24251, 65, 166.86, 46
2026/07/30 14:30:17.594, 24251, 64, 166.86, 46
2026/07/30 14:30:19.594, 24251, 63, 159.62, 46
2026/07/30 14:30:21.595, 24251, 64, 159.62, 46
2026/07/30 14:30:23.595, 24251, 65, 163.04, 46
2026/07/30 14:30:25.595, 24251, 65, 162.88, 46
2026/07/30 14:30:27.596, 24251, 64, 164.76, 46
2026/07/30 14:30:29.596, 24251, 64, 166.59, 46
2026/07/30 14:30:31.596, 24271, 70, 167.52, 46
2026/07/30 14:30:33.597, 24271, 69, 167.80, 46
2026/07/30 14:30:35.597, 24271, 69, 169.96, 46
2026/07/30 14:30:37.597, 24271, 69, 163.65, 46
2026/07/30 14:30:39.598, 24271, 63, 160.89, 46
2026/07/30 14:30:41.598, 24271, 62, 161.77, 46
2026/07/30 14:30:43.598, 24271, 63, 162.60, 46
2026/07/30 14:30:45.599, 24271, 63, 164.76, 46
2026/07/30 14:30:47.599, 24271, 63, 163.48, 46
2026/07/30 14:30:49.599, 24271, 64, 163.82, 46
2026/07/30 14:30:51.600, 24271, 64, 165.97, 46
2026/07/30 14:30:53.600, 24271, 64, 167.52, 46
2026/07/30 14:30:55.601, 24271, 64, 163.04, 46
2026/07/30 14:30:57.601, 24271, 64, 160.28, 46
2026/07/30 14:30:59.602, 24271, 64, 161.00, 46
2026/07/30 14:31:01.602, 24271, 64, 166.08, 46
2026/07/30 14:31:03.602, 24271, 64, 165.37, 46
2026/07/30 14:31:05.603, 24271, 64, 166.86, 47
2026/07/30 14:31:07.603, 24271, 63, 175.82, 47
2026/07/30 14:31:09.603, 24271, 65, 168.41, 47
2026/07/30 14:31:11.604, 24271, 65, 166.86, 47
2026/07/30 14:31:13.604, 24271, 66, 165.97, 47
2026/07/30 14:31:15.605, 24271, 63, 159.62, 47
