timestamp,memory_used_mib,utilization_gpu_pct,power_draw_w,temperature_c
2026/07/30 14:13:53.727, 0, 0, 60.68, 32
2026/07/30 14:13:55.739, 0, 0, 60.68, 31
2026/07/30 14:13:57.739, 0, 0, 60.68, 32
2026/07/30 14:13:59.739, 23673, 17, 68.09, 32
2026/07/30 14:14:01.740, 23673, 12, 68.09, 32
2026/07/30 14:14:03.740, 23673, 15, 67.82, 32
2026/07/30 14:14:05.740, 23673, 13, 68.03, 32
2026/07/30 14:14:07.740, 23971, 63, 154.43, 35
2026/07/30 14:14:09.741, 23971, 62, 157.95, 36
2026/07/30 14:14:11.741, 23991, 63, 165.97, 36
2026/07/30 14:14:13.741, 24011, 63, 163.48, 37
2026/07/30 14:14:15.741, 24031, 63, 162.27, 37
2026/07/30 14:14:17.741, 24051, 58, 165.03, 37
2026/07/30 14:14:19.742, 24051, 59, 162.27, 37
2026/07/30 14:14:21.742, 24071, 59, 150.27, 38
2026/07/30 14:14:23.742, 24091, 59, 138.54, 38
2026/07/30 14:14:25.743, 24111, 59, 140.70, 38
2026/07/30 14:14:27.743, 24131, 59, 162.88, 38
2026/07/30 14:14:29.743, 24131, 60, 154.86, 38
2026/07/30 14:14:31.743, 24151, 59, 159.50, 39
2026/07/30 14:14:33.744, 24171, 59, 159.50, 39
2026/07/30 14:14:35.744, 24171, 60, 162.60, 39
2026/07/30 14:14:37.744, 24211, 60, 161.33, 39
2026/07/30 14:14:39.744, 24231, 59, 155.19, 40
2026/07/30 14:14:41.745, 24231, 60, 138.88, 40
2026/07/30 14:14:43.745, 24251, 57, 140.28, 40
2026/07/30 14:14:45.745, 24251, 58, 147.78, 40
2026/07/30 14:14:47.745, 24251, 57, 153.97, 40
2026/07/30 14:14:49.746, 24251, 57, 158.90, 40
2026/07/30 14:14:51.746, 24251, 58, 158.90, 40
2026/07/30 14:14:53.746, 24251, 58, 161.94, 41
2026/07/30 14:14:55.746, 24251, 58, 161.33, 41
2026/07/30 14:14:57.746, 24251, 58, 153.97, 41
2026/07/30 14:14:59.747, 24251, 59, 140.09, 41
2026/07/30 14:15:01.747, 24251, 59, 134.09, 41
2026/07/30 14:15:03.747, 24251, 59, 154.86, 41
2026/07/30 14:15:05.747, 24251, 58, 157.62, 41
2026/07/30 14:15:07.748, 24251, 59, 161.33, 42
2026/07/30 14:15:09.748, 24251, 59, 163.82, 42
2026/07/30 14:15:11.748, 24251, 59, 165.37, 42
2026/07/30 14:15:13.748, 24251, 60, 165.37, 42
2026/07/30 14:15:15.749, 24251, 60, 143.65, 42
2026/07/30 14:15:17.749, 24251, 60, 137.79, 42
2026/07/30 14:15:19.749, 24251, 58, 149.94, 42
2026/07/30 14:15:21.749, 24251, 58, 158.57, 42
2026/07/30 14:15:23.750, 24251, 58, 160.44, 42
2026/07/30 14:15:25.750, 24251, 58, 162.60, 43
2026/07/30 14:15:27.750, 24251, 58, 160.72, 43
2026/07/30 14:15:29.750, 24251, 58, 160.72, 43
2026/07/30 14:15:31.751, 24251, 58, 153.64, 43
2026/07/30 14:15:33.751, 24251, 58, 140.56, 43
2026/07/30 14:15:35.751, 24251, 59, 135.97, 43
2026/07/30 14:15:37.751, 24251, 58, 153.97, 43
2026/07/30 14:15:39.752, 24251, 59, 161.50, 43
2026/07/30 14:15:41.752, 24251, 58, 160.89, 43
2026/07/30 14:15:43.752, 24251, 59, 166.25, 43
2026/07/30 14:15:45.752, 24251, 59, 165.37, 43
2026/07/30 14:15:47.752, 24251, 59, 167.19, 43
2026/07/30 14:15:49.753, 24251, 60, 153.04, 44
2026/07/30 14:15:51.753, 24251, 60, 143.04, 44
2026/07/30 14:15:53.753, 24251, 60, 138.12, 44
2026/07/30 14:15:55.753, 24251, 59, 171.00, 44
